title,pageRank
Sigmund Freud,0.01992688965605125
Socrates,0.01957533838348381
Aristotle,0.01638879598289029
Penalty kick (association football),0.0145330321093078
Lip (gastropod),0.01381715802755883
Suspended animation,0.01356929532033056
Syllogism,0.01166024628486426
Ballpoint pen,0.01028489258032084
Coma,0.009784672011475386
The Death of Ivan Ilyich,0.009123914956967615
Logic,0.00849788304278557
Life insurance,0.008487986715511311
Persistent vegetative state,0.008436181603541986
Shelly Kagan,0.008014293028329874
Mobile phone,0.007545534210342534
Psychoanalysis,0.007351051873616085
Multiplication table,0.005966740421603271
Anatomy,0.005279306625377367
Soul,0.005046164129219891
Brain,0.00474682909612617
Walter Kaufmann (philosopher),0.004725621326407215
Cognition,0.004456542799875919
Animation,0.004420436464701425
Unconscious mind,0.00432691402299967
Behavior,0.00405132722596118
Mystery fiction,0.004011094307949817
Syncope (medicine),0.003991378758445048
Physicalism,0.00388143033488335
French language,0.003801509753785131
Leo Tolstoy,0.003665749818694365
Smuggling,0.003358367878962831
Human,0.003312375492013905
God,0.003292752992598357
Cancer,0.003254400867525928
Insurance,0.003187541996407374
Metabolism,0.003060912802009601
Novella,0.003039506259392973
Metaphor,0.002978722571006786
Death,0.002963676277403353
Personal identity,0.002942666404344564
First-person (video games),0.002888446586806999
Evolution,0.002859941061582649
Time,0.002792049311258705
Immortality,0.002789719144038175
Biology,0.002765883785175897
Organism,0.002721063205049913
Science,0.002702838867899696
Life,0.00270220221415986
Cell (biology),0.002679196449833666
Fruit,0.002592046309191806
Lung,0.002576957517811349
Matter,0.002543624835070783
Own goal,0.002529868727178708
Resurrection,0.002522991361691703
Causality,0.002513297564409115
Will and testament,0.002480683597997468
Mind,0.002428917441813135
Soul music,0.002417526017428759
Human body,0.002394015695150945
Newline,0.002382947144220773
Medicine,0.002361068491065814
Beach,0.002353723395884877
Law,0.002349023243060957
Scientific method,0.002342251232058629
Knowledge,0.002341336132036566
Probability,0.002333231405621978
Hypothesis,0.00233253207409181
Quantum mechanics,0.002321532334995459
Nature,0.002317841013446094
Learning,0.00230052469607952
Metaphysics,0.002299921866990096
Heaven,0.002283333582146526
Physiology,0.002269591379275774
Sense,0.002255416738934029
Truth,0.002252606775717681
Consciousness,0.002219598795642141
Resurrection of the dead,0.002200233149948841
Vladimir Lenin,0.002198270867501463
Writing,0.002198161545990455
Communication,0.002191968718699521
Free will,0.002191664296568464
Sleep,0.002189023552110449
Theory,0.002187739444621054
Drosophila melanogaster,0.002182147341232616
Funeral,0.002171642896292065
Backslash,0.002141362496766403
Match fixing,0.002114212699187089
Law school,0.002098821982376283
Mental image,0.002088167869423418
Try (rugby),0.002087176184512474
Business,0.002086547530971242
Observation,0.002080179581073819
Aesthetics,0.00207864264221056
Irreligion,0.002051740850839721
Tie (draw),0.002046619487383295
Multiplication,0.002036357886092709
Argument,0.002033730599229199
Reason,0.002016382521960314
Earth,0.002003235428621107
Family,0.001995417486751801
Thought,0.001994840713133105
Imagination,0.001982013114591119
Etymology,0.001975148616074179
Speech,0.001959398462427024
Existentialism,0.001949811509617746
Hampden Park,0.001949374818233548
Poverty,0.00194192272203036
Verb,0.00194149135815662
De facto,0.001930167444265427
Mean,0.00191294904121538
Life expectancy,0.001900883028351717
Lawsuit,0.001890282930149696
Belief,0.00188793711354167
Emotion,0.001881362869196754
Wisdom,0.001864653300050108
Puzzle video game,0.001860446761394771
Visual perception,0.001849130982653657
Skepticism,0.001828323087143683
Disease,0.001817269080989021
Experience,0.001811280913376124
Citizenship,0.001807823212236225
Thesis,0.001793816655389321
Bone fracture,0.001786292741959915
People (magazine),0.001786278322846246
Ontology,0.001777654876309985
Justice,0.001758199318237505
