title,pageRank
Pelvis,0.01533185051180271
Cartilage,0.009555198488651266
Potential energy,0.009337037488512485
Mark Saltzman,0.00844137910233751
Drag (physics),0.00782859717060357
Biomechanics,0.007105444796944115
Hip replacement,0.00642985195748109
Hawk,0.006014122194918751
Hummingbird,0.005839461609929666
Polytetrafluoroethylene,0.005748764937235279
Pendulum,0.005700452331070364
Physics,0.005667906688654514
Polymer,0.004999104478915222
Gravity,0.004974982981490516
Airfoil,0.004846732462392089
Kinetic energy,0.004736068833204541
Arthritis,0.004551033402982852
Organism,0.004337988985486039
Friction,0.004289413562768832
Swing music,0.004184804094622792
Lift (force),0.004178818301581263
Ileum,0.004109618045092361
Polyethylene,0.004010836551904836
Metronome,0.003981431379746158
Metal,0.003946618915591883
Femoral head,0.003821181125595206
Range of motion,0.003698342327005085
Fish,0.003668536238314355
Joint,0.003655232017109457
Inertia,0.003621609965375132
Hip bone,0.003552553576219181
Center of mass,0.00341067276971417
Microorganism,0.003404387735784306
Thrust,0.003373281026463454
Swimming (sport),0.003201829761361422
Viscoelasticity,0.003076646876233574
Forward (association football),0.0030327169520158
Viscosity,0.002925964044657674
Protozoa,0.002880541827514462
Walking,0.00282216951136633
Bacteria,0.002752198291725446
Poise (unit),0.002670157858711079
Heel (professional wrestling),0.00265187061732336
Frequency,0.002590096445397553
Energy,0.002579593679017358
Force,0.002459161287438932
Time,0.002444514535912132
Biomedical engineering,0.002422952463312718
Bone,0.002409084513520473
Eagle,0.002400586553610966
Femur,0.002354145033698145
Skeletal muscle,0.00227166208330844
Flow separation,0.002227143708437797
Gait (human),0.002226207634410462
Water,0.00221290257088453
Mass,0.002185876014958091
Knee,0.002176610317759674
Scientific law,0.00217490350760723
Stroke,0.002150329030213917
Human,0.002139490517927134
Velocity,0.002135655636633423
Physiology,0.002123239201345556
Multicellular organism,0.002082296769354661
Natural frequency,0.00204854142768535
Exercise physiology,0.002047544974972727
Falcon,0.002042124781982268
Pressure,0.001943090167264031
Momentum,0.001937279319722396
Skeleton,0.001879236456135428
Molasses,0.001878540252579191
Bicycle,0.001863795140233182
Tuberculosis,0.001834324653120195
Causality,0.00182912862947075
Hip,0.001820501499063208
Chemistry,0.00181941271753553
Evolution,0.001805832282085737
Distance,0.001797946880634024
Graph (discrete mathematics),0.001790393382366388
Length,0.001790348181269425
Earth,0.001778600281318585
Sphere,0.001757865492342336
Engineering,0.001747675183961259
Micrometre,0.001739432593718234
World War I,0.001706368293452791
Association football,0.001662770740682857
Species,0.00165934983704069
Wing,0.001657857104531177
Elasticity (physics),0.001648934916026497
Nature,0.001648314364737812
Flight,0.001643262464087165
Mechanics,0.00163767434594498
Honey,0.001623075737405513
Adaptation,0.001618241374544483
Nutrient,0.001618095123988276
Acceleration,0.001610398027243245
Propeller,0.001593340613913538
Life,0.001590175587695364
Airplane,0.001573690835107556
Fly,0.001572204706899908
Gas,0.00156864181848443
Spaceflight,0.001552158290642418
Chemical element,0.001551346369234789
G-force,0.001548107517062245
Chemical substance,0.001538570476870445
Visual perception,0.001537114962902385
Scientific method,0.001533072733352774
Anatomy,0.00153114121123432
Correlation,0.001525133488811544
Machine,0.001514750416005115
Matter,0.001503240160209166
Computer,0.001487562230656484
Rabbit,0.001463226989322591
Bird,0.001434136174134751
Meteorology,0.001392936963156976
Navigation,0.001389962238944547
Atmosphere,0.001385846080579656
Agriculture,0.001375369140636992
Fluid dynamics,0.00137132937304113
Newton's laws of motion,0.001364861523435922
Turbulence,0.001363076362636476
Probability,0.001357503253517119
Atmosphere of Earth,0.001351752015246794
Speed,0.001312780357256928
Knowledge,0.001309981651685273
Climate change,0.00130762161857353
General relativity,0.001305393315322441
Motion,0.001303871033253583
Wolf,0.001302119263371928
Human body,0.001295229886483121
Design,0.001270379801333942
